file_name,FastFMC_D0_number_of_nodes,FastFMC_D0_number_of_edges,FastFMC_D_number_of_nodes,FastFMC_D_number_of_edges,alt1_D0_number_of_nodes,alt1_D0_number_of_edges,alt2_D_number_of_nodes,alt2_D_number_of_edges
90-34-8-q,16934,16933,16934,16933,--,--,16934,16933
90-34-9-q,34303,156139,34710,160896,94077,521890,33373,281960
90-38-1-q,238067,1464244,241272,1417400,8119533,50907002,223652,3316919
90-38-10-q,394784,2303877,399912,2775751,10632533,67761250,369911,5186249
90-38-2-q,94447,405242,95007,442922,792862,3884353,88930,1423862
90-38-3-q,43540,235430,44177,254611,4298286,43289417,42262,436691
90-38-4-q,28804,94379,29175,99897,288360,1939795,28420,138583
90-38-5-q,52909,258521,53637,276898,533463,4604121,50767,546083
90-38-6-q,73479,345448,74594,382754,6949310,49870031,69955,929015
90-38-7-q,440521,2498609,449305,2742446,27367998,175723499,410586,6128770
90-38-8-q,85532,423090,86645,490739,301546,1667818,82385,688021
90-38-9-q,83436,473470,84464,469922,482651,3314255,79038,1143683
90-42-1-q,4033621,19807001,4074223,18392973,--,--,3676306,62232421
90-42-10-q,834252,4393509,847033,4038137,15154014,102975003,780043,13759600
90-42-2-q,225776,1497807,226741,1574818,1585342,9745261,209260,3945326
90-42-3-q,197966,995682,198533,1073951,14860588,92731606,183872,2603373
90-42-4-q,1480545,7754330,1491362,8135457,6297739,43220329,1372848,17485382
90-42-5-q,72241,316169,72984,342419,11691027,71821869,69149,906787
90-42-6-q,373278,2020188,377693,2342073,9336219,57907439,348119,7391128
90-42-7-q,343793,1574798,346887,1853067,21170810,167215258,322106,3797309
90-42-8-q,3345366,16209146,3368083,18071026,25756357,172997169,3114268,48892746
90-46-1-q,650208,3548596,657267,2892337,10010903,68579811,604240,10327107
90-46-10-q,31190,31189,31190,31189,--,--,31190,31189
90-46-2-q,671069,3463415,680653,3843290,1422321,7522128,628453,8081336
90-46-3-q,168187,1043768,170422,1164681,6480090,46578061,158480,2498346
90-46-9-q,257290,1227662,259658,1310048,4531629,28114265,240592,2563773
90-50-10-q,464846,2610101,469776,2841788,4793276,30815737,436301,6273745
90-50-2-q,36902,36901,36902,36901,--,--,36902,36901
90-50-3-q,90953,462614,92078,483753,2047687,14870518,87540,919098
90-50-4-q,309118,1631057,311437,1849147,12037687,92151982,286487,3920698
90-50-6-q,543291,1875285,545109,2129895,10337601,66408658,505414,7209431
90-50-7-q,36902,36901,36902,36901,--,--,36902,36901
90-50-8-q,270263,1051383,274009,1126492,9718744,74821144,252116,6792747
BerkeleyDBC,63,76,63,76,68,81,63,76
C129_FR,191783,971502,195946,1237187,1909785,6442754,183500,2410980
C140_FC,270313,1204589,277338,1548085,7193292,22702121,257575,2805165
C140_FV,202956,1145407,207496,1421296,8384815,32314201,192544,2246191
C140_FW,212531,1194786,217079,1441078,699139,2348750,202584,2493720
C163_FW,138125,905964,141219,1254685,2151254,9515108,131524,1673942
C168_FW,1929385,7363447,2005440,11417105,5426228,22899766,1839232,22834676
